year_month,region,category,revenue_budget
2024-01,Central,Beverages,23946.22
2024-01,Central,Household,66038.16
2024-01,Central,Personal Care,89036.65
2024-01,Central,Snacks,27927.14
2024-01,Central,Staples,18095.09
2024-01,Coast,Beverages,22661.47
2024-01,Coast,Household,30944.82
2024-01,Coast,Personal Care,45619.9
2024-01,Coast,Snacks,5096.52
2024-01,Coast,Staples,50451.79
2024-01,Eastern,Beverages,9655.07
2024-01,Eastern,Household,72283.36
2024-01,Eastern,Personal Care,25329.91
2024-01,Eastern,Snacks,21581.95
2024-01,Eastern,Staples,23747.27
2024-01,Nairobi,Beverages,58328.18
2024-01,Nairobi,Household,101956.3
2024-01,Nairobi,Personal Care,99337.15
2024-01,Nairobi,Snacks,40536.42
2024-01,Nairobi,Staples,63440.04
2024-01,Nyanza,Beverages,23428.47
2024-01,Nyanza,Household,64882.81
2024-01,Nyanza,Personal Care,99160.85
2024-01,Nyanza,Snacks,26493.7
2024-01,Nyanza,Staples,15505.65
2024-01,Rift Valley,Beverages,37438.94
2024-01,Rift Valley,Household,71681.67
2024-01,Rift Valley,Personal Care,100541.99
2024-01,Rift Valley,Snacks,35393.04
2024-01,Rift Valley,Staples,36738.52
2024-01,Western,Beverages,21991.69
2024-01,Western,Household,50617.58
2024-01,Western,Personal Care,133157.7
2024-01,Western,Snacks,37004.09
2024-01,Western,Staples,70294.08
2024-02,Central,Beverages,19792.03
2024-02,Central,Household,45357.8
2024-02,Central,Personal Care,41324.2
2024-02,Central,Snacks,7114.39
2024-02,Central,Staples,20150.58
2024-02,Coast,Beverages,36628.39
2024-02,Coast,Household,45735.35
2024-02,Coast,Personal Care,92102.17
2024-02,Coast,Snacks,20188.96
2024-02,Coast,Staples,28951.67
2024-02,Eastern,Beverages,3804.51
2024-02,Eastern,Household,20855.77
2024-02,Eastern,Personal Care,20960.4
2024-02,Eastern,Snacks,6526.81
2024-02,Eastern,Staples,35852.36
2024-02,Nairobi,Beverages,68382.21
2024-02,Nairobi,Household,159180.65
2024-02,Nairobi,Personal Care,121598.34
2024-02,Nairobi,Snacks,42927.18
2024-02,Nairobi,Staples,159506.52
2024-02,Nyanza,Beverages,32112.83
2024-02,Nyanza,Household,34509.54
2024-02,Nyanza,Personal Care,46008.19
2024-02,Nyanza,Snacks,7567.98
2024-02,Nyanza,Staples,29023.33
2024-02,Rift Valley,Beverages,61603.4
2024-02,Rift Valley,Household,47399.55
2024-02,Rift Valley,Personal Care,114793.78
2024-02,Rift Valley,Snacks,34858.55
2024-02,Rift Valley,Staples,50382.3
2024-02,Western,Beverages,20107.55
2024-02,Western,Household,40685.38
2024-02,Western,Personal Care,90977.37
2024-02,Western,Snacks,17156.59
2024-02,Western,Staples,35059.66
2024-03,Central,Beverages,13583.25
2024-03,Central,Household,92026.13
