line_id,order_id,order_date,customer_id,product_id,salesperson_id,quantity,unit_price,discount_pct,gross_sales,net_sales,cogs,gross_profit
L0000001,O000001,2024-01-24,C083,P015,S09,19,160.17,0.0429,3043.23,2912.6,2129.14,783.46
L0000002,O000002,2024-01-09,C148,P012,S01,72,121.04,0.065,8714.88,8148.83,6836.4,1312.43
L0000003,O000002,2024-01-09,C148,P031,S01,9,644.45,0.0558,5800.05,5476.68,4384.8,1091.88
L0000004,O000002,2024-01-09,C148,P034,S01,11,241.4,0.0545,2655.4,2510.57,2168.87,341.7
L0000005,O000003,2024-01-11,C083,P022,S08,5,79.63,0.0086,398.15,394.74,291.05,103.69
L0000006,O000003,2024-01-11,C083,P027,S08,4,261.5,0.0369,1046.0,1007.43,759.76,247.67
L0000007,O000003,2024-01-11,C083,P045,S08,10,213.64,0.0387,2136.4,2053.78,1483.4,570.38
L0000008,O000004,2024-01-20,C128,P004,S03,3,203.83,0.0398,611.49,587.12,483.87,103.25
L0000009,O000004,2024-01-20,C128,P014,S03,3,62.06,0.0203,186.18,182.4,139.71,42.69
L0000010,O000005,2024-01-23,C041,P036,S13,45,231.82,0.0593,10431.9,9813.08,7570.35,2242.73
L0000011,O000005,2024-01-23,C041,P027,S13,24,261.5,0.0654,6276.0,5865.4,4558.56,1306.84
L0000012,O000006,2024-01-27,C124,P036,S02,17,231.82,0.0745,3940.94,3647.48,2859.91,787.57
L0000013,O000007,2024-01-20,C131,P056,S03,6,360.27,0.0449,2161.62,2064.55,1856.7,207.85
L0000014,O000007,2024-01-20,C131,P005,S03,35,133.29,0.0459,4665.15,4451.23,3718.05,733.18
L0000015,O000007,2024-01-20,C131,P018,S03,14,99.21,0.0536,1388.94,1314.43,978.88,335.55
L0000016,O000008,2024-01-16,C089,P035,S15,17,287.19,0.0552,4882.23,4612.62,3872.77,739.85
L0000017,O000008,2024-01-16,C089,P025,S15,8,456.91,0.0571,3655.28,3446.48,2864.0,582.48
L0000018,O000009,2024-01-25,C106,P031,S04,13,644.45,0.0212,8377.85,8200.37,6333.6,1866.77
L0000019,O000010,2024-01-13,C170,P032,S03,10,415.18,0.0437,4151.8,3970.3,3120.2,850.1
L0000020,O000010,2024-01-13,C170,P003,S03,3,180.47,0.0387,541.41,520.48,396.48,124.0
L0000021,O000010,2024-01-13,C170,P009,S03,5,103.07,0.0165,515.35,506.86,381.9,124.96
L0000022,O000010,2024-01-13,C170,P033,S03,10,566.71,0.0408,5667.1,5435.71,4207.3,1228.41
L0000023,O000011,2024-01-21,C125,P016,S04,29,154.93,0.0757,4492.97,4152.69,3086.76,1065.93
L0000024,O000011,2024-01-21,C125,P041,S04,28,542.96,0.0802,15202.88,13984.05,10162.6,3821.45
L0000025,O000012,2024-01-06,C178,P003,S11,15,180.47,0.0669,2707.05,2526.06,1982.4,543.66
L0000026,O000012,2024-01-06,C178,P021,S11,20,141.59,0.0788,2831.8,2608.69,2139.2,469.49
L0000027,O000012,2024-01-06,C178,P051,S11,18,83.67,0.0659,1506.06,1406.82,1238.58,168.24
L0000028,O000013,2024-01-22,C062,P010,S15,14,191.41,0.0375,2679.74,2579.2,2142.0,437.2
L0000029,O000013,2024-01-22,C062,P015,S15,43,160.17,0.0354,6887.31,6643.83,4818.58,1825.25
L0000030,O000013,2024-01-22,C062,P030,S15,12,206.6,0.0471,2479.2,2362.33,1938.84,423.49
L0000031,O000014,2024-01-31,C089,P028,S15,12,463.46,0.0562,5561.52,5248.86,4221.72,1027.14
L0000032,O000014,2024-01-31,C089,P045,S15,20,213.64,0.0659,4272.8,3991.09,2966.8,1024.29
L0000033,O000015,2024-01-23,C076,P043,S04,7,429.58,0.0249,3007.06,2932.27,2025.8,906.47
