seed,scenario,policy,sku,placed_day,arrival_day,expiry_day,received_kg
0,base,sales_only,BEEF-A,1,2,8,140
0,base,sales_only,BEEF-A,0,3,9,130
0,base,sales_only,BEEF-A,2,5,11,4
0,base,sales_only,BEEF-A,4,5,11,53
0,base,sales_only,BEEF-A,3,6,12,33
0,base,sales_only,BEEF-A,5,6,12,15
0,base,sales_only,BEEF-A,7,8,14,34
0,base,sales_only,BEEF-A,6,9,15,28
0,base,sales_only,BEEF-A,8,9,15,18
0,base,sales_only,BEEF-A,9,10,16,25
0,base,sales_only,BEEF-A,10,11,17,14
0,base,sales_only,BEEF-A,11,12,18,55
0,base,sales_only,BEEF-A,12,13,19,46
0,base,sales_only,BEEF-A,13,14,20,54
0,base,sales_only,BEEF-A,15,16,22,10
0,base,sales_only,BEEF-A,14,17,23,31
0,base,sales_only,BEEF-A,16,17,23,68
0,base,sales_only,BEEF-A,17,18,24,26
0,base,sales_only,BEEF-A,18,19,25,76
0,base,sales_only,BEEF-A,19,20,26,67
0,base,sales_only,BEEF-A,20,21,27,23
0,base,sales_only,BEEF-A,21,22,28,47
0,base,sales_only,BEEF-A,22,23,29,41
0,base,sales_only,BEEF-A,24,25,31,27
0,base,sales_only,BEEF-A,23,26,32,37
0,base,sales_only,BEEF-A,25,26,32,53
0,base,sales_only,BEEF-A,27,28,34,33
0,base,sales_only,BEEF-A,26,29,35,38
0,base,sales_only,BEEF-A,28,29,35,51
0,base,sales_only,BEEF-A,29,30,36,23
0,base,sales_only,BEEF-A,30,31,37,31
0,base,sales_only,BEEF-A,31,32,38,32
0,base,sales_only,BEEF-A,32,33,39,31
0,base,sales_only,BEEF-A,33,34,40,60
0,base,sales_only,BEEF-A,34,35,41,39
0,base,sales_only,BEEF-A,36,37,43,27
0,base,sales_only,BEEF-A,35,38,44,16
0,base,sales_only,BEEF-A,37,38,44,22
0,base,sales_only,BEEF-A,39,40,46,31
0,base,sales_only,BEEF-A,38,41,47,60
0,base,sales_only,BEEF-A,40,41,47,57
0,base,sales_only,BEEF-A,41,42,48,41
0,base,sales_only,BEEF-A,42,43,49,47
0,base,sales_only,BEEF-A,44,45,51,50
0,base,sales_only,BEEF-A,43,46,52,53
0,base,sales_only,BEEF-A,46,47,53,42
0,base,sales_only,BEEF-A,45,48,54,58
0,base,sales_only,BEEF-A,47,48,54,112
0,base,sales_only,BEEF-A,48,49,55,19
0,base,sales_only,BEEF-A,50,51,57,43
0,base,sales_only,BEEF-A,49,52,58,51
0,base,sales_only,BEEF-A,51,52,58,34
0,base,sales_only,BEEF-A,53,54,60,48
0,base,sales_only,BEEF-A,52,55,61,50
0,base,sales_only,BEEF-A,54,55,61,31
0,base,sales_only,BEEF-A,55,56,62,29
0,base,sales_only,BEEF-A,56,57,63,47
0,base,sales_only,BEEF-A,57,58,64,49
0,base,sales_only,BEEF-A,58,59,65,23
0,base,sales_only,BEEF-A,59,60,66,38
0,base,sales_only,BEEF-A,60,61,67,57
0,base,sales_only,BEEF-A,61,62,68,52
0,base,sales_only,BEEF-A,63,64,70,43
0,base,sales_only,BEEF-A,62,65,71,23
0,base,sales_only,BEEF-A,64,65,71,26
0,base,sales_only,BEEF-A,65,66,72,43
0,base,sales_only,BEEF-A,66,67,73,28
0,base,sales_only,BEEF-A,67,68,74,45
0,base,sales_only,BEEF-A,68,69,75,45
0,base,sales_only,BEEF-A,69,70,76,13
0,base,sales_only,BEEF-A,70,71,77,49
0,base,sales_only,BEEF-A,71,72,78,50
0,base,sales_only,BEEF-A,72,73,79,69
0,base,sales_only,BEEF-A,73,74,80,33
0,base,sales_only,BEEF-A,74,75,81,37
0,base,sales_only,BEEF-A,75,76,82,50
0,base,sales_only,BEEF-A,76,77,83,50
0,base,sales_only,BEEF-A,77,78,84,29
0,base,sales_only,BEEF-A,78,79,85,25
0,base,sales_only,BEEF-A,79,80,86,59
0,base,sales_only,BEEF-A,80,81,87,86
0,base,sales_only,BEEF-A,81,82,88,22
0,base,sales_only,BEEF-A,82,83,89,37
0,base,sales_only,BEEF-A,83,84,90,37
0,base,sales_only,BEEF-A,84,85,91,68
0,base,sales_only,BEEF-A,85,86,92,27
0,base,sales_only,BEEF-A,86,87,93,43
0,base,sales_only,BEEF-A,87,88,94,56
0,base,sales_only,BEEF-A,89,90,96,47
0,base,sales_only,BEEF-A,88,91,97,49
0,base,sales_only,BEEF-A,90,91,97,18
0,base,sales_only,BEEF-A,91,92,98,35
0,base,sales_only,BEEF-A,92,93,99,62
0,base,sales_only,BEEF-A,94,95,101,47
0,base,sales_only,BEEF-A,93,96,102,44
0,base,sales_only,BEEF-A,96,97,103,58
0,base,sales_only,BEEF-A,95,98,104,41
0,base,sales_only,BEEF-A,97,98,104,16
0,base,sales_only,BEEF-A,98,99,105,26
0,base,sales_only,BEEF-A,99,100,106,22
0,base,sales_only,BEEF-A,100,101,107,116
0,base,sales_only,BEEF-A,101,102,108,47
0,base,sales_only,BEEF-A,102,103,109,56
0,base,sales_only,BEEF-A,103,104,110,63
0,base,sales_only,BEEF-A,104,105,111,13
0,base,sales_only,BEEF-A,105,106,112,22
0,base,sales_only,BEEF-A,106,107,113,62
0,base,sales_only,BEEF-A,107,108,114,26
0,base,sales_only,BEEF-A,109,110,116,29
0,base,sales_only,BEEF-A,108,111,117,78
0,base,sales_only,BEEF-A,110,111,117,49
0,base,sales_only,BEEF-A,111,112,118,27
0,base,sales_only,BEEF-A,113,114,120,15
0,base,sales_only,BEEF-A,112,115,121,63
0,base,sales_only,BEEF-A,114,115,121,38
0,base,sales_only,BEEF-A,115,116,122,34
0,base,sales_only,BEEF-A,117,118,124,98
0,base,sales_only,BEEF-A,116,119,125,75
0,base,sales_only,BEEF-A,118,119,125,36
0,base,sales_only,BEEF-A,119,120,126,27
0,base,sales_only,BEEF-A,120,121,127,36
0,base,sales_only,BEEF-A,121,122,128,82
0,base,sales_only,BEEF-A,123,124,130,90
0,base,sales_only,BEEF-A,122,125,131,48
0,base,sales_only,BEEF-A,124,125,131,86
0,base,sales_only,BEEF-A,125,126,132,27
0,base,sales_only,BEEF-A,126,127,133,163
0,base,sales_only,BEEF-A,127,128,134,41
0,base,sales_only,BEEF-A,128,129,135,21
0,base,sales_only,BEEF-A,129,130,136,63
0,base,sales_only,BEEF-A,130,131,137,83
0,base,sales_only,BEEF-A,131,132,138,45
0,base,sales_only,BEEF-A,132,133,139,36
0,base,sales_only,BEEF-A,133,134,140,37
0,base,sales_only,BEEF-A,134,135,141,22
0,base,sales_only,BEEF-A,135,136,142,66
0,base,sales_only,BEEF-A,136,137,143,69
0,base,sales_only,BEEF-A,137,138,144,130
0,base,sales_only,BEEF-A,139,140,146,121
0,base,sales_only,BEEF-A,138,141,147,103
0,base,sales_only,BEEF-A,140,141,147,21
0,base,sales_only,BEEF-A,141,142,148,31
0,base,sales_only,BEEF-A,142,143,149,70
0,base,sales_only,BEEF-A,143,144,150,60
0,base,sales_only,BEEF-A,144,145,151,80
0,base,sales_only,BEEF-A,145,146,152,63
0,base,sales_only,BEEF-A,146,147,153,42
0,base,sales_only,BEEF-A,147,148,154,68
0,base,sales_only,BEEF-A,148,149,155,39
0,base,sales_only,BEEF-A,149,150,156,22
0,base,sales_only,BEEF-A,150,151,157,27
0,base,sales_only,BEEF-A,151,152,158,68
0,base,sales_only,BEEF-A,152,153,159,65
0,base,sales_only,BEEF-A,153,154,160,25
0,base,sales_only,BEEF-A,155,156,162,110
0,base,sales_only,BEEF-A,154,157,163,117
0,base,sales_only,BEEF-A,156,157,163,43
0,base,sales_only,BEEF-A,157,158,164,25
0,base,sales_only,BEEF-A,158,159,165,54
0,base,sales_only,BEEF-A,159,160,166,82
0,base,sales_only,BEEF-A,160,161,167,42
0,base,sales_only,BEEF-A,162,163,169,39
0,base,sales_only,BEEF-A,161,164,170,85
0,base,sales_only,BEEF-A,163,164,170,50
0,base,sales_only,BEEF-A,164,165,171,73
0,base,sales_only,BEEF-A,165,166,172,53
0,base,sales_only,BEEF-A,166,167,173,64
0,base,sales_only,BEEF-A,167,168,174,29
0,base,sales_only,BEEF-A,168,169,175,36
0,base,sales_only,BEEF-A,169,170,176,50
0,base,sales_only,BEEF-A,170,171,177,37
0,base,sales_only,BEEF-A,171,172,178,65
0,base,sales_only,BEEF-A,173,174,180,111
0,base,sales_only,BEEF-A,172,175,181,97
0,base,sales_only,BEEF-A,174,175,181,28
0,base,sales_only,BEEF-A,175,176,182,42
0,base,sales_only,BEEF-A,176,177,183,46
0,base,sales_only,BEEF-A,178,179,185,99
0,base,sales_only,BEEF-A,177,180,186,38
0,base,sales_only,BEEF-A,179,180,186,56
0,base,sales_only,BEEF-A,180,181,187,197
0,base,sales_only,BEEF-A,181,182,188,32
0,base,sales_only,BEEF-A,183,184,190,60
0,base,sales_only,BEEF-A,182,185,191,45
0,base,sales_only,BEEF-A,184,185,191,50
0,base,sales_only,BEEF-A,185,186,192,68
0,base,sales_only,BEEF-A,187,188,194,60
0,base,sales_only,BEEF-A,186,189,195,56
0,base,sales_only,BEEF-A,188,189,195,27
0,base,sales_only,BEEF-A,189,190,196,26
0,base,sales_only,BEEF-A,190,191,197,30
0,base,sales_only,BEEF-A,191,194,200,62
0,base,sales_only,BEEF-A,193,194,200,98
0,base,sales_only,BEEF-A,192,195,201,72
0,base,sales_only,BEEF-A,194,195,201,79
0,base,sales_only,BEEF-A,195,196,202,21
0,base,sales_only,BEEF-A,196,197,203,34
0,base,sales_only,BEEF-A,197,198,204,51
0,base,sales_only,BEEF-A,198,199,205,94
0,base,sales_only,BEEF-A,199,200,206,62
0,base,sales_only,BEEF-A,200,201,207,109
0,base,sales_only,BEEF-A,201,202,208,140
0,base,sales_only,BEEF-A,202,203,209,25
0,base,sales_only,BEEF-A,203,204,210,30
0,base,sales_only,BEEF-A,204,205,211,67
0,base,sales_only,BEEF-A,205,206,212,57
0,base,sales_only,BEEF-A,206,207,213,71
0,base,sales_only,BEEF-A,207,208,214,137
0,base,sales_only,BEEF-A,208,209,215,77
0,base,sales_only,BEEF-A,209,210,216,31
0,base,sales_only,BEEF-A,211,212,218,29
0,base,sales_only,BEEF-A,210,213,219,21
0,base,sales_only,BEEF-A,213,214,220,44
0,base,sales_only,BEEF-A,212,215,221,31
0,base,sales_only,BEEF-A,214,215,221,82
0,base,sales_only,BEEF-A,215,216,222,137
0,base,sales_only,BEEF-A,216,217,223,24
0,base,sales_only,BEEF-A,217,218,224,80
0,base,sales_only,BEEF-A,218,219,225,39
0,base,sales_only,BEEF-A,219,220,226,60
0,base,sales_only,BEEF-A,221,222,228,46
0,base,sales_only,BEEF-A,220,223,229,44
0,base,sales_only,BEEF-A,222,223,229,83
0,base,sales_only,BEEF-A,223,224,230,55
0,base,sales_only,BEEF-A,224,225,231,38
0,base,sales_only,BEEF-A,225,226,232,50
0,base,sales_only,BEEF-A,226,227,233,39
0,base,sales_only,BEEF-A,228,229,235,61
0,base,sales_only,BEEF-A,227,230,236,85
0,base,sales_only,BEEF-A,229,230,236,38
