seed,scenario,policy,day,sku,opening_kg,received_kg,requested_kg,sold_kg,unfilled_kg,recorded_unfilled_kg,expired_kg,closing_kg,ordered_kg,forecast_kg,revenue_kes,gross_margin_kes,waste_cost_kes,holding_cost_kes
0,base,sales_only,0,BEEF-A,135,0,53,53,0,0,0,82,130,53,31270,8480,0,65.60000000000001
0,base,sales_only,1,BEEF-A,82,0,85,82,3,0,0,0,140,67.5,48380,13120,0,0.0
0,base,sales_only,2,BEEF-A,0,140,40,40,0,0,0,100,4,58.333333,23600,6400,0,80.0
0,base,sales_only,3,BEEF-A,100,130,46,46,0,0,0,184,33,55.25,27140,7360,0,147.20000000000002
0,base,sales_only,4,BEEF-A,184,0,54,54,0,0,0,130,53,55,31860,8640,0,104.0
0,base,sales_only,5,BEEF-A,130,57,31,31,0,0,0,156,15,51,18290,4960,0,124.80000000000001
0,base,sales_only,6,BEEF-A,156,48,36,36,0,0,0,168,28,48.857143,21240,5760,0,134.4
0,base,sales_only,7,BEEF-A,168,0,39,39,0,0,0,129,34,47.625,23010,6240,0,103.2
0,base,sales_only,8,BEEF-A,129,34,27,27,0,0,0,136,18,45.333333,15930,4320,0,108.80000000000001
0,base,sales_only,9,BEEF-A,136,46,31,31,0,0,0,151,25,43.9,18290,4960,0,120.80000000000001
0,base,sales_only,10,BEEF-A,151,25,22,22,0,0,0,154,14,41.909091,12980,3520,0,123.2
0,base,sales_only,11,BEEF-A,154,14,51,51,0,0,1,116,55,42.666667,30090,8160,430,92.80000000000001
0,base,sales_only,12,BEEF-A,116,55,45,45,0,0,0,126,46,42.846154,26550,7200,0,100.80000000000001
0,base,sales_only,13,BEEF-A,126,46,52,52,0,0,0,120,54,43.5,30680,8320,0,96.0
0,base,sales_only,14,BEEF-A,120,54,33,33,0,0,0,141,31,42.8,19470,5280,0,112.80000000000001
0,base,sales_only,15,BEEF-A,141,0,17,17,0,0,0,124,10,41.1875,10030,2720,0,99.2
0,base,sales_only,16,BEEF-A,124,10,63,63,0,0,0,71,68,42.470588,37170,10080,0,56.800000000000004
0,base,sales_only,17,BEEF-A,71,99,29,29,0,0,0,141,26,41.722222,17110,4640,0,112.80000000000001
0,base,sales_only,18,BEEF-A,141,26,70,70,0,0,0,97,76,43.210526,41300,11200,0,77.60000000000001
0,base,sales_only,19,BEEF-A,97,76,63,63,0,0,0,110,67,44.2,37170,10080,0,88.0
0,base,sales_only,20,BEEF-A,110,67,26,26,0,0,0,151,23,43.333333,15340,4160,0,120.80000000000001
0,base,sales_only,21,BEEF-A,151,23,47,47,0,0,0,127,47,43.5,27730,7520,0,101.60000000000001
0,base,sales_only,22,BEEF-A,127,47,41,41,0,0,0,133,41,43.391304,24190,6560,0,106.4
0,base,sales_only,23,BEEF-A,133,41,38,38,0,0,0,136,37,43.166667,22420,6080,0,108.80000000000001
0,base,sales_only,24,BEEF-A,136,0,29,29,0,0,0,107,27,42.6,17110,4640,0,85.60000000000001
0,base,sales_only,25,BEEF-A,107,27,52,52,0,0,0,82,53,42.961538,30680,8320,0,65.60000000000001
0,base,sales_only,26,BEEF-A,82,90,38,38,0,0,0,134,38,42.777778,22420,6080,0,107.2
0,base,sales_only,27,BEEF-A,134,0,35,35,0,0,0,99,33,42.5,20650,5600,0,79.2
0,base,sales_only,28,BEEF-A,99,33,51,51,0,0,0,81,51,42.428571,30090,8160,0,64.8
0,base,sales_only,29,BEEF-A,81,89,30,30,0,0,0,140,23,40.571429,17700,4800,0,112.0
0,base,sales_only,30,BEEF-A,140,23,32,32,0,0,0,131,31,40.285714,18880,5120,0,104.80000000000001
0,base,sales_only,31,BEEF-A,131,31,34,34,0,0,0,128,32,39.857143,20060,5440,0,102.4
0,base,sales_only,32,BEEF-A,128,32,34,34,0,0,0,126,31,39.142857,20060,5440,0,100.80000000000001
