scenario,seed,policy,requested_kg,sold_kg,unfilled_kg,fill_rate_pct,expired_kg,supply_kg,waste_rate_pct,closing_kg,average_closing_kg,revenue_kes,modelled_contribution_kes
base,0,sales_only,24399,24341,58,99.76228533956309,342,25023,1.366742596810934,340,354.8277777777778,12470960,3272564.8
base,0,half_logged,24399,24342,57,99.76638386819133,344,25028,1.3744606041233818,342,355.31666666666666,12471370,3271494.4
base,0,all_logged,24399,24343,56,99.77048239681955,344,25031,1.3742958731173345,344,355.8222222222222,12471820,3271561.6
base,1,sales_only,24392,24369,23,99.90570678911118,285,25094,1.1357296564915915,440,350.60555555555555,12410430,3285052.8
base,1,half_logged,24392,24369,23,99.90570678911118,286,25095,1.1396692568240685,440,350.78333333333336,12410430,3284737.2
base,1,all_logged,24392,24369,23,99.90570678911118,291,25100,1.159362549800797,440,351.06111111111113,12410430,3282167.2
base,2,sales_only,25458,25394,64,99.74860554639014,478,26304,1.8172141119221412,432,383.8777777777778,13040700,3399231.6
base,2,half_logged,25458,25395,63,99.75253358472779,490,26317,1.8619143519398107,432,384.6777777777778,13041290,3392956.4
base,2,all_logged,25458,25395,63,99.75253358472779,502,26329,1.9066428652816285,432,385.4611111111111,13041290,3386653.6
base,3,sales_only,23865,23806,59,99.7527760318458,358,24622,1.4539842417350337,458,351.76666666666665,12203720,3184415.6
base,3,half_logged,23865,23806,59,99.7527760318458,358,24622,1.4539842417350337,458,353.22222222222223,12203720,3184206.0
base,3,all_logged,23865,23807,58,99.75696626859417,358,24623,1.453925191893758,458,354.68333333333334,12204170,3184135.6
base,4,sales_only,24551,24472,79,99.67822084640137,397,25303,1.5689839149507963,434,361.8,12582920,3268700.8
base,4,half_logged,24551,24472,79,99.67822084640137,403,25309,1.5923189379272196,434,362.56111111111113,12582920,3265491.2
base,4,all_logged,24551,24472,79,99.67822084640137,410,25316,1.6195291515247274,434,363.3722222222222,12582920,3261714.4
base,5,sales_only,25540,25371,169,99.33829287392325,378,26177,1.4440157390075257,428,375.97777777777776,13020090,3410689.2
base,5,half_logged,25540,25373,167,99.3461237274863,383,26184,1.4627253284448518,428,377.85555555555555,13020990,3408438.8
base,5,all_logged,25540,25374,166,99.35003915426782,384,26186,1.4664324448178416,428,379.8222222222222,13021440,3407735.6
base,6,sales_only,24478,24379,99,99.59555519241768,315,25086,1.2556804592202822,392,340.81111111111113,12490080,3289553.2
base,6,half_logged,24478,24379,99,99.59555519241768,327,25098,1.3028926607697824,392,341.80555555555554,12490080,3284850.0
base,6,all_logged,24478,24379,99,99.59555519241768,335,25106,1.3343423882737195,392,342.8666666666667,12490080,3281297.2
base,7,sales_only,25623,25522,101,99.60582289349412,451,26306,1.7144377708507565,333,372.3722222222222,13081870,3406858.4
