day,sku,requested_kg,supplier_lead_days
0,BEEF-A,53,3
0,CHICKEN-B,43,3
0,SAUSAGE-C,25,1
0,SPECIAL-D,11,1
1,BEEF-A,85,1
1,CHICKEN-B,31,1
1,SAUSAGE-C,38,1
1,SPECIAL-D,4,1
2,BEEF-A,40,3
2,CHICKEN-B,56,1
2,SAUSAGE-C,10,1
2,SPECIAL-D,9,1
3,BEEF-A,46,3
3,CHICKEN-B,68,1
3,SAUSAGE-C,11,1
3,SPECIAL-D,11,1
4,BEEF-A,54,1
4,CHICKEN-B,33,1
4,SAUSAGE-C,25,1
4,SPECIAL-D,10,1
5,BEEF-A,31,1
5,CHICKEN-B,60,1
5,SAUSAGE-C,27,1
5,SPECIAL-D,13,1
6,BEEF-A,36,3
6,CHICKEN-B,26,1
6,SAUSAGE-C,16,1
6,SPECIAL-D,5,1
7,BEEF-A,39,1
7,CHICKEN-B,65,1
7,SAUSAGE-C,10,1
7,SPECIAL-D,14,1
8,BEEF-A,27,1
8,CHICKEN-B,26,1
8,SAUSAGE-C,19,1
8,SPECIAL-D,10,3
9,BEEF-A,31,1
9,CHICKEN-B,16,1
9,SAUSAGE-C,11,1
9,SPECIAL-D,13,1
10,BEEF-A,22,1
10,CHICKEN-B,24,1
10,SAUSAGE-C,19,1
10,SPECIAL-D,5,1
11,BEEF-A,51,1
11,CHICKEN-B,36,1
11,SAUSAGE-C,16,3
11,SPECIAL-D,8,1
12,BEEF-A,45,1
12,CHICKEN-B,53,3
12,SAUSAGE-C,16,3
12,SPECIAL-D,14,1
13,BEEF-A,52,1
13,CHICKEN-B,39,1
13,SAUSAGE-C,16,1
13,SPECIAL-D,8,1
14,BEEF-A,33,3
14,CHICKEN-B,51,1
14,SAUSAGE-C,16,1
14,SPECIAL-D,9,1
15,BEEF-A,17,1
15,CHICKEN-B,54,3
15,SAUSAGE-C,13,3
15,SPECIAL-D,4,1
16,BEEF-A,63,1
16,CHICKEN-B,21,1
16,SAUSAGE-C,21,1
16,SPECIAL-D,6,1
17,BEEF-A,29,1
17,CHICKEN-B,9,1
17,SAUSAGE-C,26,1
17,SPECIAL-D,8,1
18,BEEF-A,70,1
18,CHICKEN-B,59,1
18,SAUSAGE-C,10,3
18,SPECIAL-D,7,1
19,BEEF-A,63,1
19,CHICKEN-B,33,1
19,SAUSAGE-C,17,1
19,SPECIAL-D,9,1
20,BEEF-A,26,1
20,CHICKEN-B,37,3
20,SAUSAGE-C,21,1
20,SPECIAL-D,8,1
21,BEEF-A,47,1
21,CHICKEN-B,47,1
21,SAUSAGE-C,28,1
21,SPECIAL-D,5,1
22,BEEF-A,41,1
22,CHICKEN-B,29,1
22,SAUSAGE-C,9,1
22,SPECIAL-D,5,1
23,BEEF-A,38,3
23,CHICKEN-B,34,3
23,SAUSAGE-C,21,1
23,SPECIAL-D,8,3
24,BEEF-A,29,1
24,CHICKEN-B,46,1
24,SAUSAGE-C,19,1
24,SPECIAL-D,9,3
25,BEEF-A,52,1
25,CHICKEN-B,47,1
25,SAUSAGE-C,14,1
25,SPECIAL-D,10,1
26,BEEF-A,38,3
26,CHICKEN-B,48,1
26,SAUSAGE-C,30,1
26,SPECIAL-D,15,1
27,BEEF-A,35,1
27,CHICKEN-B,63,1
27,SAUSAGE-C,19,3
27,SPECIAL-D,5,1
28,BEEF-A,51,1
28,CHICKEN-B,37,3
28,SAUSAGE-C,12,1
28,SPECIAL-D,5,1
29,BEEF-A,30,1
29,CHICKEN-B,43,3
29,SAUSAGE-C,27,1
29,SPECIAL-D,9,1
30,BEEF-A,32,1
30,CHICKEN-B,38,1
30,SAUSAGE-C,14,1
30,SPECIAL-D,9,1
31,BEEF-A,34,1
31,CHICKEN-B,62,1
31,SAUSAGE-C,29,1
31,SPECIAL-D,6,1
32,BEEF-A,34,1
32,CHICKEN-B,27,3
32,SAUSAGE-C,15,1
32,SPECIAL-D,9,3
33,BEEF-A,56,1
